Pulsar,HabCat,Distance (arcmin),Pulsar period
B1449-64,13059,0.6249064282908349,0.179485
J1052-5954,113789,1.638531044313407,0.180592
J1629+43,21100,0.4474635333401705,0.181173
J1702-4128,23764,1.1025065636605282,0.182136
B1607-52,20028,1.046639699572377,0.182492
J0656-5449,92952,0.3006465896346412,0.183157
J1254-6150,4650,0.7354293588974177,0.184502
J1301-6305,4740,0.19578951087515228,0.184528
J1757-2223,27828,1.0970256884463476,0.18531
J1908+0839,34423,1.302870689097913,0.185397
J1930-1852,36249,0.6525146683165933,0.18552
J1124-5638,115562,1.2120452857243196,0.18556
B1838-04,31849,1.1699370227398294,0.186149
B1715-40,24583,0.5565926396122012,0.189094
B1821-19,30890,2.3466996522193564,0.189335
J1755-0903,28135,1.4714198905756244,0.19071
J1911+10,34423,0.7007635310463057,0.19089
J1752-2410,27496,0.9936655434707818,0.191037
J1848+0351,32644,0.21749030269236924,0.191443
J1843-0702,32933,2.4337910161422713,0.191614
B1557-50,18613,1.5563806202076582,0.192601
J1743-3153,26863,0.22319923552240953,0.193105
B1338-62,7670,1.417116624312518,0.19334
B1556-57,18567,0.8028414927050392,0.194454
B1915+13,34710,2.420224802367813,0.194631
B0655+64,94249,1.1344865056530158,0.195671
B0144+59,67367,1.1004786985641224,0.196321
B1323-627,6619,0.8938066676971392,0.196479
J1732-3131,25711,0.6782112115907689,0.196543
J1948+2551,37968,0.5790584393353951,0.196627
B0353+52,77944,0.6631007973890465,0.19703
B1055-52,113202,0.42095658630815697,0.197108
J1858+02,34239,2.1992884728021025,0.19765
J1248-6344,4740,1.5837042582981455,0.198335
J1815-1738,29828,0.43651649291714506,0.198436
J1047-6709,114140,2.2084191149320813,0.198451
J1552-62,18395,0.9758274624405036,0.1988
J1829+0000,30545,1.4701460015014838,0.199147
J1746-3239,27234,0.24686592931395432,0.199541
J2030+3641,41529,0.3628699336832822,0.200129
J1511-5414,15492,1.2628666527563868,0.200384
B1935+25,37309,0.9359128761229374,0.20098
J1837-0559,31246,1.167280318212663,0.201063
J1723-3659,24332,1.990145240342381,0.202722
B1124-60,116412,1.5570245688097264,0.202737
J1618-4723,20359,1.113988297342037,0.203553
J0957-5432,108271,1.2051260047824228,0.203557
J1942+81,36187,0.6452715486848929,0.203568
J1841-0345,31849,0.7227520130378985,0.204068
J1845-1114,32962,1.5751624074754143,0.20622
J1640-4631,22032,0.7374567344895022,0.206443
J1636-4440,21701,1.1102177543777085,0.206649
J1845-0316,31849,1.5882153975181754,0.207636
J1337-6306,7670,0.6310328025468223,0.207953
J1932+1916,36951,1.1229260738563878,0.208215
J0843-5022,102590,1.2055647960318643,0.208956
J1904+0738,33719,2.470131955771628,0.208958
J1921+0812,35642,0.6753557806215266,0.210648
J1647-3607,22576,0.8102200008257217,0.212316
J1908+0734,34423,2.398343062476502,0.212353
J1406-6121,9704,0.8861392500691407,0.213075
B1820-14,30067,2.158585585804105,0.214771
B0743-53,97286,0.8044739163682204,0.214836
J1518-5415,15492,0.5896247338155184,0.214925
J1702-4306,23655,0.51184487223519,0.215507
J2316+64,55340,0.444613860521817,0.216
J2319+6411,55340,0.28433394149780067,0.216018
