TRAPPIST-1,23:06:29.36,-05:02:29.2
Kepler-103 c,19:15:56.2,+40:03:52
Kepler-199 b,+19:42:14.26,+40:14:10.57
Kepler-199 c,+19:42:14.26,+40:14:10.57
Kepler-130 b,+19:13:48.14,+40:14:43.19
Kepler-130 d,+19:13:48.14,+40:14:43.19
Kepler-109 b,19:21:34.263,+40:17:05.6
Kepler-109 c,19:21:34.263,+40:17:05.6
Kepler-340 b,+19:43:44.04,+40:18:02.05
Kepler-340 c,+19:43:44.04,+40:18:02.05
Kepler-305 d,+19:56:53.84,+40:20:35.45
Kepler-398 b,+19:25:52.46,+40:20:37.86
Kepler-398 c,+19:25:52.46,+40:20:37.86
KELT-3 b,09:54:34.388,+40:23:16.9
Kepler-237 b,+18:52:53.15,+40:25:18.59
Kepler-237 c,+18:52:53.15,+40:25:18.59
47 UMa b,+10:59:28.22,+40:25:48.44
47 UMa c,+10:59:28.22,+40:25:48.44
Kepler-308 b,+19:43:08.44,+40:26:22.38
Kepler-308 c,+19:43:08.44,+40:26:22.38
Kepler-400 b,+19:23:46.68,+40:28:48.14
Kepler-400 c,+19:23:46.68,+40:28:48.14
Kepler-84 b,19:53:00.491,+40:29:45.8
Kepler-84 c,19:53:00.491,+40:29:45.8
Kepler-84 d,+19:53:00.49,+40:29:45.89
Kepler-84 e,+19:53:00.49,+40:29:45.89
Kepler-84 f,+19:53:00.49,+40:29:45.89
Kepler-150 b,+19:12:56.20,+40:31:15.24
Kepler-150 c,+19:12:56.20,+40:31:15.24
Kepler-150 d,+19:12:56.20,+40:31:15.24
Kepler-150 e,+19:12:56.20,+40:31:15.24
Kepler-96 b,19:48:16.713,+40:31:30.5
HD 23596 b,+03:48:00.33,+40:31:50.10
Kepler-348 b,+19:49:01.20,+40:32:54.13
Kepler-348 c,+19:49:01.20,+40:32:54.13
Kepler-304 b,+19:37:46.02,+40:33:27.32
Kepler-304 c,+19:37:46.02,+40:33:27.32
Kepler-304 d,+19:37:46.02,+40:33:27.32
